sa1,fp_alp,fp_lib,fp_nat,fp_lnp,fp_grn,fp_onp,fp_oth,tcp_alp,tcp_lib,tcp_nat,tcp_lnp,tcp_grn,tcp_onp,tcp_oth,tpp_alp,tpp_lnp
1118218,0.1166,0.3999,0.0,0.3999,0.0482,0.0638,0.3714,0.0,0.5698,0.0,0.5698,0.0,0.0,0.4302,0.3333,0.6667
1118219,0.1066,0.4115,0.0,0.4115,0.0409,0.0636,0.3774,0.0,0.5756,0.0,0.5756,0.0,0.0,0.4244,0.3197,0.6803
1118220,0.1022,0.4106,0.0,0.4106,0.0403,0.0646,0.3823,0.0,0.5711,0.0,0.5711,0.0,0.0,0.4289,0.3172,0.6828
1118221,0.1032,0.4012,0.0,0.4012,0.0438,0.0644,0.3874,0.0,0.5675,0.0,0.5675,0.0,0.0,0.4325,0.3216,0.6784
1118222,0.1052,0.4037,0.0,0.4037,0.0422,0.0632,0.3856,0.0,0.5676,0.0,0.5676,0.0,0.0,0.4324,0.3222,0.6778
1118224,0.1021,0.4065,0.0,0.4065,0.0414,0.0679,0.3822,0.0,0.5702,0.0,0.5702,0.0,0.0,0.4298,0.3223,0.6777
1118301,0.1188,0.407,0.0,0.407,0.0489,0.0701,0.3552,0.0,0.5917,0.0,0.5917,0.0,0.0,0.4083,0.31,0.69
1118302,0.1303,0.4619,0.0,0.4619,0.0431,0.0751,0.2896,0.0,0.6445,0.0,0.6445,0.0,0.0,0.3555,0.3115,0.6885
1118303,0.1275,0.4738,0.0,0.4738,0.0358,0.0757,0.2872,0.0,0.6471,0.0,0.6471,0.0,0.0,0.3529,0.3028,0.6972
1118306,0.1105,0.436,0.0,0.436,0.0402,0.0764,0.3369,0.0,0.6184,0.0,0.6184,0.0,0.0,0.3816,0.3081,0.6919
1118307,0.104,0.4053,0.0,0.4053,0.0388,0.1093,0.3426,0.0,0.6261,0.0,0.6261,0.0,0.0,0.3739,0.2794,0.7206
1118308,0.1124,0.4486,0.0,0.4486,0.0673,0.0808,0.2909,0.0,0.668,0.0,0.668,0.0,0.0,0.332,0.2836,0.7164
1118309,0.1224,0.3988,0.0,0.3988,0.0621,0.0895,0.3272,0.0,0.6683,0.0,0.6683,0.0,0.0,0.3317,0.3067,0.6933
1118310,0.1304,0.423,0.0,0.423,0.1103,0.0715,0.2648,0.0,0.6319,0.0,0.6319,0.0,0.0,0.3681,0.3298,0.6702
1118311,0.1302,0.4297,0.0,0.4297,0.0526,0.0691,0.3185,0.0,0.6,0.0,0.6,0.0,0.0,0.4,0.3296,0.6704
1118312,0.152,0.4152,0.0,0.4152,0.0992,0.0684,0.2653,0.0,0.6059,0.0,0.6059,0.0,0.0,0.3941,0.3747,0.6253
1118313,0.1223,0.4189,0.0,0.4189,0.0549,0.0879,0.3161,0.0,0.6231,0.0,0.6231,0.0,0.0,0.3769,0.3079,0.6921
1118314,0.1162,0.4406,0.0,0.4406,0.038,0.0728,0.3324,0.0,0.6017,0.0,0.6017,0.0,0.0,0.3983,0.3117,0.6883
1118316,0.1409,0.4859,0.0,0.4859,0.0408,0.0645,0.268,0.0,0.6433,0.0,0.6433,0.0,0.0,0.3567,0.3126,0.6874
1118318,0.1006,0.418,0.0,0.418,0.0385,0.068,0.3749,0.0,0.5789,0.0,0.5789,0.0,0.0,0.4211,0.312,0.688
1118319,0.1037,0.3956,0.0,0.3956,0.0433,0.0768,0.3806,0.0,0.5958,0.0,0.5958,0.0,0.0,0.4042,0.2814,0.7186
1118320,0.1211,0.4146,0.0,0.4146,0.0498,0.0693,0.3452,0.0,0.584,0.0,0.584,0.0,0.0,0.416,0.3309,0.6691
1118321,0.144,0.4378,0.0,0.4378,0.0875,0.0682,0.2626,0.0,0.6141,0.0,0.6141,0.0,0.0,0.3859,0.3643,0.6357
1118323,0.1298,0.4531,0.0,0.4531,0.0468,0.0688,0.3015,0.0,0.6225,0.0,0.6225,0.0,0.0,0.3775,0.3198,0.6802
1118325,0.1271,0.44,0.0,0.44,0.0475,0.0731,0.3122,0.0,0.6153,0.0,0.6153,0.0,0.0,0.3847,0.3193,0.6807
1118326,0.1495,0.4295,0.0,0.4295,0.1029,0.0645,0.2536,0.0,0.6306,0.0,0.6306,0.0,0.0,0.3694,0.3536,0.6464
1118327,0.122,0.4385,0.0,0.4385,0.0459,0.0745,0.3191,0.0,0.6165,0.0,0.6165,0.0,0.0,0.3835,0.3159,0.6841
1118328,0.1255,0.4304,0.0,0.4304,0.0502,0.0741,0.3198,0.0,0.6136,0.0,0.6136,0.0,0.0,0.3864,0.3215,0.6785
1118401,0.1533,0.5063,0.0,0.5063,0.0387,0.0554,0.2462,0.0,0.6636,0.0,0.6636,0.0,0.0,0.3364,0.3112,0.6888
1118402,0.151,0.5017,0.0,0.5017,0.0381,0.0562,0.253,0.0,0.6612,0.0,0.6612,0.0,0.0,0.3388,0.3103,0.6897
1118403,0.1515,0.4974,0.0,0.4974,0.0421,0.0573,0.2516,0.0,0.6572,0.0,0.6572,0.0,0.0,0.3428,0.315,0.685
1118404,0.1517,0.4908,0.0,0.4908,0.0442,0.0559,0.2574,0.0,0.6577,0.0,0.6577,0.0,0.0,0.3423,0.3174,0.6826
1118405,0.1558,0.5122,0.0,0.5122,0.0361,0.0514,0.2444,0.0,0.6727,0.0,0.6727,0.0,0.0,0.3273,0.3082,0.6918
